epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.521,0.6808,2.10319,0.93425,0.64339,0.61209,0.71058,0.66389,0.33302,0.9734,0.80532,2.38e-05,2.38e-05,2.38e-05
2,212.989,0.58789,1.13174,0.8979,0.60598,0.55401,0.59894,0.55747,0.33496,0.91467,0.80481,4.39598e-05,4.39598e-05,4.39598e-05
3,321.792,0.5563,0.99403,0.87589,0.63772,0.50382,0.63846,0.57417,0.37894,0.81626,0.80986,5.91716e-05,5.91716e-05,5.91716e-05
4,430.573,0.54852,0.91866,0.86158,0.53286,0.67887,0.69135,0.62429,0.36468,0.77516,0.80623,6.94353e-05,6.94353e-05,6.94353e-05
5,535.514,0.52078,0.88105,0.86135,0.70746,0.48366,0.67302,0.60684,0.37546,0.78913,0.80862,7.1876e-05,7.1876e-05,7.1876e-05
6,640.158,0.49474,0.815,0.84928,0.78937,0.50584,0.67673,0.61274,0.35745,0.80764,0.8069,6.0095e-05,6.0095e-05,6.0095e-05
7,745.882,0.48685,0.81829,0.84674,0.57786,0.67922,0.66968,0.60862,0.35742,0.76868,0.80444,4.8314e-05,4.8314e-05,4.8314e-05
8,851.12,0.46917,0.7421,0.8467,0.53341,0.72827,0.65531,0.5952,0.34176,0.73603,0.80256,3.6533e-05,3.6533e-05,3.6533e-05
9,956.307,0.47184,0.73641,0.84435,0.58644,0.66028,0.65455,0.59642,0.33726,0.73703,0.8006,2.4752e-05,2.4752e-05,2.4752e-05
10,1064.95,0.46562,0.74103,0.83604,0.72521,0.48005,0.66238,0.60541,0.33732,0.7422,0.80119,1.2971e-05,1.2971e-05,1.2971e-05
